Type	Start	End	Strand	Name	Biotype	Description	LocusTag	seed_ortholog	Cog_category	Description_EGGNog	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
gene	10841	11245	-	yaaI	protein_coding	conserved hypothetical protein	SL1344_0011	90371.CY43_00050	S	Protein of unknown function (DUF2541)	-	-	-	-	-	-	-	-	-	-	-	DUF2541
gene	11593	13509	+	dnaK	protein_coding	Chaperone protein dnaK	SL1344_0012	90371.CY43_00055	O	Heat shock 70 kDa protein	GO:0000166,GO:0000988,GO:0000989,GO:0003674,GO:0003824,GO:0005488,GO:0005515,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006457,GO:0006458,GO:0006950,GO:0006986,GO:0008144,GO:0008150,GO:0008270,GO:0009266,GO:0009408,GO:0009628,GO:0009889,GO:0009987,GO:0010033,GO:0010556,GO:0016020,GO:0016043,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0016989,GO:0017076,GO:0017111,GO:0019219,GO:0019222,GO:0022607,GO:0030554,GO:0031323,GO:0031326,GO:0032553,GO:0032555,GO:0032559,GO:0032991,GO:0033554,GO:0034620,GO:0035639,GO:0035966,GO:0035967,GO:0036094,GO:0042221,GO:0043167,GO:0043168,GO:0043169,GO:0043531,GO:0043933,GO:0044085,GO:0044183,GO:0044424,GO:0044444,GO:0044464,GO:0046872,GO:0046914,GO:0050789,GO:0050794,GO:0050896,GO:0051082,GO:0051084,GO:0051085,GO:0051087,GO:0051171,GO:0051252,GO:0051716,GO:0060255,GO:0061077,GO:0065003,GO:0065007,GO:0070887,GO:0071310,GO:0071840,GO:0071944,GO:0080090,GO:0097159,GO:0097367,GO:0140110,GO:1901265,GO:1901363,GO:1903506,GO:2001141	-	ko:K04043	ko03018,ko04212,ko05152,map03018,map04212,map05152	-	-	-	ko00000,ko00001,ko03019,ko03029,ko03110,ko04147	1.A.33.1	-	-	HSP70
gene	13595	14734	+	dnaJ	protein_coding	DnaJ protein	SL1344_0013	220341.16501296	O	ATP binding to DnaK triggers the release of the substrate protein, thus completing the reaction cycle. Several rounds of ATP-dependent interactions between DnaJ, DnaK and GrpE are required for fully efficient folding. Also involved, together with DnaK and GrpE, in the DNA replication of plasmids through activation of initiation proteins	GO:0000988,GO:0000989,GO:0003674,GO:0003756,GO:0003824,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006259,GO:0006260,GO:0006457,GO:0006458,GO:0006725,GO:0006807,GO:0006950,GO:0008150,GO:0008152,GO:0008270,GO:0009058,GO:0009059,GO:0009266,GO:0009408,GO:0009628,GO:0009889,GO:0009987,GO:0010556,GO:0015035,GO:0015036,GO:0016020,GO:0016032,GO:0016043,GO:0016491,GO:0016667,GO:0016853,GO:0016860,GO:0016864,GO:0016989,GO:0019219,GO:0019222,GO:0022607,GO:0031323,GO:0031326,GO:0032991,GO:0034641,GO:0034645,GO:0042026,GO:0043167,GO:0043169,GO:0043170,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044403,GO:0044419,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0046872,GO:0046914,GO:0050789,GO:0050794,GO:0050896,GO:0051082,GO:0051084,GO:0051085,GO:0051087,GO:0051171,GO:0051252,GO:0051704,GO:0055114,GO:0060255,GO:0061077,GO:0065003,GO:0065007,GO:0071704,GO:0071840,GO:0080090,GO:0090304,GO:0140096,GO:0140110,GO:1901360,GO:1901576,GO:1903506,GO:2001141	-	ko:K03686	-	-	-	-	ko00000,ko03029,ko03110	-	-	-	DnaJ,DnaJ_C,DnaJ_CXXCXGXG
gene	15014	15961	+	-	protein_coding	hypothetical regulatory protein	SL1344_0014	90371.CY43_00065	K	Bacterial regulatory helix-turn-helix protein, lysR family	-	-	-	-	-	-	-	-	-	-	-	HTH_1,LysR_substrate
gene	16088	16432	+	-	protein_coding	predicted bacteriophage protein	SL1344_0015	90371.CY43_00065	K	Bacterial regulatory helix-turn-helix protein, lysR family	-	-	-	-	-	-	-	-	-	-	-	HTH_1,LysR_substrate
gene	16493	17026	-	-	protein_coding	conserved hypothetical protein	SL1344_0016	90371.CY43_00065	K	Bacterial regulatory helix-turn-helix protein, lysR family	-	-	-	-	-	-	-	-	-	-	-	HTH_1,LysR_substrate
gene	18083	19966	+	chiA	protein_coding	chitinase	SL1344_0018															
gene	20058	23054	+	-	protein_coding	hypothetical chitinase	SL1344_0019	90371.CY43_00065	K	Bacterial regulatory helix-turn-helix protein, lysR family	-	-	-	-	-	-	-	-	-	-	-	HTH_1,LysR_substrate
gene	23335	24039	+	-	protein_coding	conserved hypothetical protein	SL1344_0020	90371.CY43_00065	K	Bacterial regulatory helix-turn-helix protein, lysR family	-	-	-	-	-	-	-	-	-	-	-	HTH_1,LysR_substrate
gene	24469	25011	+	bcfA	protein_coding	fimbrial subunit	SL1344_0021															
gene	25112	25798	+	bcfB	protein_coding	fimbrial chaperone	SL1344_0022	90371.CY43_00105	M	Pili assembly chaperone PapD, C-terminal domain	-	-	ko:K07346	-	-	-	-	ko00000,ko02035,ko02044,ko03110	-	-	-	PapD_C,PapD_N
gene	25803	28424	+	bcfC	protein_coding	fimbrial usher protein	SL1344_0023															
gene	28425	29432	+	bcfD	protein_coding	fimbrial subunit	SL1344_0024	90371.CY43_00115	NU	Fimbrial protein	-	-	-	-	-	-	-	-	-	-	-	Fimbrial
gene	29433	29978	+	bcfE	protein_coding	fimbrial subunit	SL1344_0025	90371.CY43_00120	NU	Fimbrial protein	-	-	-	-	-	-	-	-	-	-	-	Fimbrial
gene	29994	30512	+	bcfF	protein_coding	fimbrial subunit	SL1344_0026	90371.CY43_00125	NU	Fimbrial protein	GO:0007155,GO:0008150,GO:0009987,GO:0022610,GO:0031589,GO:0042710,GO:0043708,GO:0043709,GO:0044010,GO:0044764,GO:0051704,GO:0090605,GO:0090609	-	-	-	-	-	-	-	-	-	-	Fimbrial
gene	31274	32119	+	bcfH	protein_coding	hypothetical exported protein	SL1344_0028															
gene	32116	32445	+	-	protein_coding	hypothetical membrane protein	SL1344_0029	90371.CY43_00065	K	Bacterial regulatory helix-turn-helix protein, lysR family	-	-	-	-	-	-	-	-	-	-	-	HTH_1,LysR_substrate
gene	32545	32994	-	-	protein_coding	hypothetical membrane protein	SL1344_0030	90371.CY43_00065	K	Bacterial regulatory helix-turn-helix protein, lysR family	-	-	-	-	-	-	-	-	-	-	-	HTH_1,LysR_substrate
gene	35339	37057	+	-	protein_coding	possible sulfatase	SL1344_0033	90371.CY43_00065	K	Bacterial regulatory helix-turn-helix protein, lysR family	-	-	-	-	-	-	-	-	-	-	-	HTH_1,LysR_substrate
gene	37103	38674	-	-	protein_coding	hypothetical secreted 5'-nucleotidase	SL1344_0034	90371.CY43_00065	K	Bacterial regulatory helix-turn-helix protein, lysR family	-	-	-	-	-	-	-	-	-	-	-	HTH_1,LysR_substrate
gene	40131	41624	+	-	protein_coding	hypothetical secreted sulfatase	SL1344_0036	90371.CY43_00065	K	Bacterial regulatory helix-turn-helix protein, lysR family	-	-	-	-	-	-	-	-	-	-	-	HTH_1,LysR_substrate
gene	41723	42913	+	-	protein_coding	possible sulfatase regulatory protein	SL1344_0037	90371.CY43_00065	K	Bacterial regulatory helix-turn-helix protein, lysR family	-	-	-	-	-	-	-	-	-	-	-	HTH_1,LysR_substrate
gene	44312	46027	+	-	protein_coding	possible sulfatase	SL1344_0039	90371.CY43_00065	K	Bacterial regulatory helix-turn-helix protein, lysR family	-	-	-	-	-	-	-	-	-	-	-	HTH_1,LysR_substrate
gene	46190	47356	+	nhaA	protein_coding	Na(+)/H(+) antiporter 1	SL1344_0040	90371.CY43_00195	P	) H( ) antiporter that extrudes sodium in exchange for external protons	GO:0003674,GO:0005215,GO:0005451,GO:0005488,GO:0005543,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006812,GO:0006814,GO:0006873,GO:0006875,GO:0006883,GO:0006885,GO:0006950,GO:0006970,GO:0008150,GO:0008289,GO:0008324,GO:0009628,GO:0009651,GO:0009987,GO:0015075,GO:0015077,GO:0015078,GO:0015081,GO:0015291,GO:0015297,GO:0015298,GO:0015299,GO:0015318,GO:0015385,GO:0015491,GO:0015672,GO:0016020,GO:0016021,GO:0019725,GO:0022804,GO:0022857,GO:0022890,GO:0030001,GO:0030003,GO:0030004,GO:0030641,GO:0031224,GO:0031226,GO:0034220,GO:0035725,GO:0042592,GO:0043157,GO:0043167,GO:0043168,GO:0044425,GO:0044459,GO:0044464,GO:0046873,GO:0048878,GO:0050801,GO:0050896,GO:0051179,GO:0051234,GO:0051453,GO:0055065,GO:0055067,GO:0055078,GO:0055080,GO:0055082,GO:0055085,GO:0065007,GO:0065008,GO:0071944,GO:0098655,GO:0098660,GO:0098662,GO:0098771,GO:0099516,GO:1901611,GO:1901612,GO:1902600	-	ko:K03313	-	-	-	-	ko00000,ko02000	2.A.33.1	-	iSF_1195.SF0016,iSFxv_1172.SFxv_0017,iS_1188.S0018	Na_H_antiport_1
gene	47418	48317	+	nhaR	protein_coding	transcriptional activator protein NhaR	SL1344_0041	220341.16501324	K	LysR substrate binding domain	GO:0001121,GO:0001130,GO:0001131,GO:0001140,GO:0001216,GO:0003674,GO:0003700,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006351,GO:0006355,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009889,GO:0009891,GO:0009893,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010628,GO:0016070,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0031334,GO:0032774,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0043254,GO:0044087,GO:0044089,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044464,GO:0045893,GO:0045935,GO:0046483,GO:0048518,GO:0048522,GO:0050789,GO:0050794,GO:0051128,GO:0051130,GO:0051171,GO:0051173,GO:0051252,GO:0051254,GO:0060255,GO:0065007,GO:0071704,GO:0080090,GO:0090304,GO:0097659,GO:0140110,GO:1901360,GO:1901362,GO:1901576,GO:1902680,GO:1903506,GO:1903508,GO:2000112,GO:2000142,GO:2000144,GO:2001141	-	ko:K03717	-	-	-	-	ko00000,ko03000	-	-	-	HTH_1,LysR_substrate
gene	48372	50411	-	-	protein_coding	hypothetical glycosyl hydrolase	SL1344_0042	90371.CY43_00065	K	Bacterial regulatory helix-turn-helix protein, lysR family	-	-	-	-	-	-	-	-	-	-	-	HTH_1,LysR_substrate
gene	50451	51824	-	-	protein_coding	hypothetical transport protein	SL1344_0043	90371.CY43_00065	K	Bacterial regulatory helix-turn-helix protein, lysR family	-	-	-	-	-	-	-	-	-	-	-	HTH_1,LysR_substrate
gene	52280	52543	-	rpsT	protein_coding	30S ribosomal protein S20	SL1344_0044															
gene	52649	52864	+	yaaY	protein_coding	conserved hypothetical protein	SL1344_0045															
gene	52872	53810	+	ribF	protein_coding	riboflavin biosynthesis protein RibF	SL1344_0046	220341.16501329	H	FAD synthetase	GO:0003674,GO:0003824,GO:0003919,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0008531,GO:0009987,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0016779,GO:0044237,GO:0070566	2.7.1.26,2.7.7.2	ko:K11753	ko00740,ko01100,ko01110,map00740,map01100,map01110	M00125	R00161,R00549	RC00002,RC00017	ko00000,ko00001,ko00002,ko01000	-	-	iETEC_1333.ETEC_0025,iJN746.PP_0602	FAD_syn,Flavokinase
gene	53855	56689	+	ileS	protein_coding	isoleucyl-tRNA synthetase	SL1344_0047	90371.CY43_00225	J	amino acids such as valine, to avoid such errors it has two additional distinct tRNA(Ile)-dependent editing activities. One activity is designated as 'pretransfer' editing and involves the hydrolysis of activated Val-AMP. The other activity is designated 'posttransfer' editing and involves deacylation of mischarged Val-tRNA(Ile)	GO:0003674,GO:0003824,GO:0004812,GO:0004822,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006139,GO:0006399,GO:0006412,GO:0006418,GO:0006428,GO:0006518,GO:0006520,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008270,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016070,GO:0016874,GO:0016875,GO:0019538,GO:0019752,GO:0034641,GO:0034645,GO:0034660,GO:0043038,GO:0043039,GO:0043043,GO:0043167,GO:0043169,GO:0043170,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0046872,GO:0046914,GO:0071704,GO:0090304,GO:0140098,GO:0140101,GO:1901360,GO:1901564,GO:1901566,GO:1901576	6.1.1.5	ko:K01870	ko00970,map00970	M00359,M00360	R03656	RC00055,RC00523	ko00000,ko00001,ko00002,ko01000,ko01007,ko03016	-	-	iG2583_1286.G2583_0027,iPC815.YPO0475	Anticodon_1,tRNA-synt_1,zf-FPG_IleRS
gene	56689	57189	+	lspA	protein_coding	lipoprotein signal peptidase	SL1344_0048	90371.CY43_00230	MU	This protein specifically catalyzes the removal of signal peptides from prolipoproteins	GO:0003674,GO:0003824,GO:0004175,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006508,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0009058,GO:0009059,GO:0009987,GO:0016020,GO:0016021,GO:0016787,GO:0019538,GO:0031224,GO:0031226,GO:0034645,GO:0042157,GO:0042158,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044425,GO:0044459,GO:0044464,GO:0070011,GO:0071704,GO:0071944,GO:0097304,GO:0140096,GO:1901564,GO:1901566,GO:1901576	3.4.23.36	ko:K03101	ko03060,map03060	-	-	-	ko00000,ko00001,ko01000,ko01002	-	-	-	Peptidase_A8
gene	57344	57793	+	fkpB	protein_coding	probable FkbB-type 16 kD peptidyl-prolyl cis-trans isomerase	SL1344_0049	220341.16501332	G	FKBP-type peptidyl-prolyl cis-trans isomerase	GO:0000413,GO:0003674,GO:0003755,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006457,GO:0006464,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0016853,GO:0016859,GO:0018193,GO:0018208,GO:0019538,GO:0036211,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044444,GO:0044464,GO:0061077,GO:0071704,GO:0140096,GO:1901564	5.2.1.8	ko:K03774	-	-	-	-	ko00000,ko01000,ko03110	-	-	-	FKBP_C
gene	57796	58746	+	ispH	protein_coding	LytB protein	SL1344_0050	90371.CY43_00240	IM	Catalyzes the conversion of 1-hydroxy-2-methyl-2-(E)- butenyl 4-diphosphate (HMBPP) into a mixture of isopentenyl diphosphate (IPP) and dimethylallyl diphosphate (DMAPP). Acts in the terminal step of the DOXP MEP pathway for isoprenoid precursor biosynthesis	GO:0003674,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006081,GO:0006082,GO:0006090,GO:0006629,GO:0006644,GO:0006720,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0008299,GO:0008610,GO:0008654,GO:0009058,GO:0009240,GO:0009987,GO:0016491,GO:0019288,GO:0019637,GO:0019682,GO:0019752,GO:0032787,GO:0042380,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046490,GO:0048037,GO:0051536,GO:0051538,GO:0051540,GO:0055114,GO:0071704,GO:0090407,GO:1901135,GO:1901576	1.17.7.4	ko:K03527	ko00900,ko01100,ko01110,ko01130,map00900,map01100,map01110,map01130	M00096	R05884,R08210	RC01137,RC01487	ko00000,ko00001,ko00002,ko01000	-	-	iECIAI1_1343.ECIAI1_0030,iECW_1372.ECW_m0028,iEKO11_1354.EKO11_3884,iEcHS_1320.EcHS_A0031,iEcolC_1368.EcolC_3626,iPC815.YPO0477,iSFV_1184.SFV_0023,iSF_1195.SF0026,iSFxv_1172.SFxv_0027,iS_1188.S0028,iWFL_1372.ECW_m0028,iYL1228.KPN_00024	LYTB
gene	58946	60148	+	-	protein_coding	conserved hypothetical protein	SL1344_0051	90371.CY43_00065	K	Bacterial regulatory helix-turn-helix protein, lysR family	-	-	-	-	-	-	-	-	-	-	-	HTH_1,LysR_substrate
gene	60164	61084	+	rihC	protein_coding	hypothetical nucleoside hydrolase (IUNH family)	SL1344_0052	90371.CY43_00250	G	Hydrolyzes both purine and pyrimidine ribonucleosides with a broad-substrate specificity	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006152,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0008477,GO:0009056,GO:0009116,GO:0009119,GO:0009164,GO:0009987,GO:0016787,GO:0016798,GO:0016799,GO:0019439,GO:0033554,GO:0034641,GO:0034655,GO:0034656,GO:0042278,GO:0042454,GO:0044237,GO:0044238,GO:0044248,GO:0044270,GO:0044281,GO:0044282,GO:0044424,GO:0044444,GO:0044464,GO:0045437,GO:0046483,GO:0046700,GO:0047622,GO:0047724,GO:0050263,GO:0050896,GO:0051716,GO:0055086,GO:0071704,GO:0072521,GO:0072523,GO:1901135,GO:1901136,GO:1901360,GO:1901361,GO:1901564,GO:1901565,GO:1901575,GO:1901657,GO:1901658	-	ko:K12700	-	-	-	-	ko00000,ko01000	-	-	iECNA114_1301.ECNA114_0014,iEcE24377_1341.EcE24377A_0030,iLF82_1304.LF82_1885,iNRG857_1313.NRG857_00145,iYL1228.KPN_00025	IU_nuc_hydro
gene	61106	61792	-	citB2	protein_coding	transcriptional regulatory protein	SL1344_0053															
gene	61794	63413	-	citA2	protein_coding	two-component sensor kinase	SL1344_0054															
gene	63548	64849	-	-	protein_coding	oxaloacetate decarboxylase beta chain (ec 4.1.1.3)	SL1344_0055	90371.CY43_00065	K	Bacterial regulatory helix-turn-helix protein, lysR family	-	-	-	-	-	-	-	-	-	-	-	HTH_1,LysR_substrate
gene	64862	66637	-	-	protein_coding	oxaloacetate decarboxylase alpha chain	SL1344_0056	90371.CY43_00065	K	Bacterial regulatory helix-turn-helix protein, lysR family	-	-	-	-	-	-	-	-	-	-	-	HTH_1,LysR_substrate
gene	66654	66893	-	oadG	protein_coding	oxaloacetate decarboxylase gamma chain	SL1344_0057	90371.CY43_04130	C	oxaloacetate decarboxylase gamma chain	-	4.1.1.3	ko:K01573	ko00620,ko01100,map00620,map01100	-	R00217	RC00040	ko00000,ko00001,ko01000,ko02000	3.B.1.1.1	-	-	OAD_gamma
gene	68637	69683	+	citC2	protein_coding	[citrate (PRO-3S)-lyase] ligase	SL1344_0059															
gene	70003	70872	+	citE2	protein_coding	citrate lyase beta chain	SL1344_0061															
gene	70883	72403	+	citF2	protein_coding	citrate lyase alpha chain	SL1344_0062															
gene	72947	73840	+	citG2	protein_coding	triphosphoribosyl-dephospho-CoA synthase	SL1344_0064															
